r,0.4,0.5,0.62
0.0,0.6000,0.5000,0.3800
0.4,0.4828,0.3546,0.2053
0.8,0.4003,0.2709,0.1416
1.2,0.3544,0.2360,0.1309
1.6,0.3417,0.2347,0.1405
2.0,0.3560,0.2548,0.1587
2.4,0.3693,0.2631,0.1554
2.8,0.3652,0.2518,0.1420
3.2,0.3584,0.2451,0.1417
3.6,0.3567,0.2477,0.1465
4.0,0.3596,0.2527,0.1479
4.4,0.3617,0.2523,0.1430
4.8,0.3608,0.2488,0.1418
5.2,0.3594,0.2482,0.1452
5.6,0.3593,0.2502,0.1464
6.0,0.3601,0.2513,0.1442
6.4,0.3605,0.2502,0.1427
6.8,0.3602,0.2492,0.1444
7.2,0.3598,0.2496,0.1457
7.6,0.3598,0.2504,0.1445
8.0,0.3601,0.2504,0.1434
8.4,0.3601,0.2498,0.1441
8.8,0.3600,0.2497,0.1452
9.2,0.3599,0.2500,0.1447
9.6,0.3600,0.2503,0.1438
10.0,0.3600,0.2501,0.1441
